trip_id,start_time,end_time,headway_secs
14M_14M_S_1_1_0.35208,07:43:30,08:27:30,240
14M_14M_S_1_11_0.39444,08:58:30,14:46:30,360
14M_14M_S_1_16_0.43194,09:46:30,15:04:30,360
14M_14M_S_1_23_0.46944,08:58:30,14:46:30,360
14M_14M_S_1_29_0.50694,09:46:30,15:04:30,360
14M_14M_S_1_35_0.54444,08:58:30,14:46:30,360
14M_14M_S_1_41_0.58194,09:46:30,15:04:30,360
14M_14M_S_1_6_0.62222,14:52:00,15:23:30,270
14M_14M_S_1_14_0.66597,15:52:30,16:12:00,195
14M_14M_S_1_27_0.71042,15:23:30,17:11:30,240
14M_14M_S_1_32_0.75278,17:59:00,18:09:00,300
14M_14M_S_1_40_0.79514,18:59:40,19:11:40,360
14M_14M_S_1_23_0.22917,05:30:00,05:40:00,600
14M_14M_S_1_30_0.27222,06:27:30,06:47:30,300
14M_14M_S_1_38_0.31250,07:21:00,07:30:45,195
14M_14M_S_1_6_0.35556,08:27:30,09:21:30,270
14M_14M_S_1_14_0.39861,08:58:30,14:46:30,360
14M_14M_S_1_19_0.43611,09:46:30,15:04:30,360
14M_14M_S_1_24_0.47361,08:58:30,14:46:30,360
14M_14M_S_1_30_0.51111,09:46:30,15:04:30,360
14M_14M_S_1_37_0.54861,08:58:30,14:46:30,360
14M_14M_S_1_1_0.58611,09:46:30,15:04:30,360
14M_14M_S_1_8_0.62569,14:52:00,15:23:30,270
14M_14M_S_1_16_0.66806,15:52:30,16:12:00,195
14M_14M_S_1_28_0.71319,15:23:30,17:11:30,240
14M_14M_S_1_35_0.27569,06:27:30,06:47:30,300
14M_14M_S_1_39_0.31458,07:30:45,07:45:45,180
14M_14M_S_1_11_0.62847,14:52:00,15:23:30,270
14M_14M_S_1_19_0.67014,15:52:30,16:12:00,195
14M_14M_S_1_21_0.67222,15:52:30,16:12:00,195
14M_14M_S_1_29_0.71597,15:23:30,17:11:30,240
14M_14M_S_1_34_0.75625,17:59:00,18:09:00,300
14M_14M_S_1_3_0.79931,18:59:40,19:11:40,360
14M_14M_S_1_12_0.83889,19:15:45,21:00:45,450
14M_14M_S_1_16_0.87778,19:57:00,21:19:30,450
14M_14M_S_1_29_0.92361,21:09:00,22:19:00,525
14M_14M_S_1_34_0.96597,22:52:15,23:21:30,585
14M_14M_S_1_3_1.01528,24:09:45,24:22:15,750
14M_14M_S_1_12_0.63194,14:52:00,15:23:30,270
14M_14M_S_1_22_0.67500,15:52:30,16:12:00,195
14M_14M_S_1_31_0.71875,17:11:30,17:56:30,225
14M_14M_S_1_37_0.75972,18:09:00,18:31:00,330
14M_14M_S_1_41_0.31667,07:30:45,07:45:45,180
14M_14M_S_1_8_0.35833,08:27:30,09:21:30,270
14M_14M_S_1_16_0.40278,08:58:30,14:46:30,360
14M_14M_S_1_23_0.44028,09:46:30,15:04:30,360
14M_14M_S_1_29_0.47778,08:58:30,14:46:30,360
14M_14M_S_1_35_0.51528,09:46:30,15:04:30,360
14M_14M_S_1_41_0.55278,08:58:30,14:46:30,360
14M_14M_S_1_6_0.59028,09:46:30,15:04:30,360
14M_14M_S_1_14_0.63472,14:52:00,15:23:30,270
14M_14M_S_1_23_0.67708,16:12:00,16:30:00,180
14M_14M_S_1_32_0.72153,17:11:30,17:56:30,225
14M_14M_S_1_40_0.76389,18:09:00,18:31:00,330
14M_14M_S_1_8_0.80417,19:11:40,19:18:00,380
14M_14M_S_1_13_0.84375,19:15:45,21:00:45,450
14M_14M_S_1_22_0.88333,19:57:00,21:19:30,450
14M_14M_S_1_23_0.31944,07:07:30,07:43:30,180
14M_14M_S_1_30_0.36181,08:33:30,08:53:30,240
14M_14M_S_1_38_0.40347,09:21:30,09:46:30,300
14M_14M_S_1_42_0.31875,07:30:45,07:45:45,180
14M_14M_S_1_9_0.36181,08:27:30,09:21:30,270
14M_14M_S_1_25_0.23611,05:30:00,05:40:00,600
14M_14M_S_1_37_0.27917,06:27:30,06:47:30,300
14M_14M_S_1_1_0.32083,07:30:45,07:45:45,180
14M_14M_S_1_11_0.36458,08:27:30,09:21:30,270
14M_14M_S_1_19_0.40694,08:58:30,14:46:30,360
14M_14M_S_1_24_0.44444,09:46:30,15:04:30,360
14M_14M_S_1_30_0.48194,08:58:30,14:46:30,360
14M_14M_S_1_37_0.51944,09:46:30,15:04:30,360
14M_14M_S_1_1_0.55694,08:58:30,14:46:30,360
14M_14M_S_1_8_0.59444,09:46:30,15:04:30,360
14M_14M_S_1_16_0.63819,14:52:00,15:23:30,270
14M_14M_S_1_24_0.67917,16:12:00,16:30:00,180
14M_14M_S_1_38_0.28264,06:27:30,06:47:30,300
14M_14M_S_1_2_0.32292,07:30:45,07:45:45,180
14M_14M_S_1_27_0.68125,16:12:00,16:30:00,180
14M_14M_S_1_33_0.72361,17:11:30,17:56:30,225
14M_14M_S_1_6_0.32500,07:45:45,08:21:30,165
14M_14M_S_1_14_0.36806,08:27:30,09:21:30,270
14M_14M_S_1_23_0.41111,08:58:30,14:46:30,360
14M_14M_S_1_29_0.44861,09:46:30,15:04:30,360
14M_14M_S_1_35_0.48611,08:58:30,14:46:30,360
14M_14M_S_1_41_0.52361,09:46:30,15:04:30,360
